protocol,model,N_total,exact_%,off_by_1_%,off_by_ge2_%,under_%,over_%,mean_abs_err
LOSO,VideoMAE,2950,60.4,33.5,6.1,22.1,17.5,0.4576
LOSO,DINOv2 (BiLSTM),2950,59.7,36.4,3.9,23.6,16.7,0.4441
LOSO,V-JEPA,2950,58.8,35.3,5.9,23.6,17.6,0.4739
LOSO,V-JEPA 2,2950,59.5,34.9,5.6,22.9,17.6,0.4603
MIDA,VideoMAE,2950,61.1,32.9,6.0,23.4,15.6,0.4495
MIDA,DINOv2 (BiLSTM),2950,60.4,37.1,2.5,23.0,16.5,0.4214
MIDA,V-JEPA,2950,59.6,35.2,5.2,23.0,17.4,0.4576
MIDA,V-JEPA 2,2950,60.9,34.0,5.1,22.8,16.3,0.4414
LODO,VideoMAE,2950,41.0,52.0,7.0,19.1,40.0,0.6607
LODO,DINOv2 (BiLSTM),2950,49.1,44.4,6.5,34.1,16.8,0.5749
LODO,V-JEPA,2950,46.2,45.1,8.7,25.3,28.6,0.6458
LODO,V-JEPA 2,2950,43.4,43.2,13.5,25.6,31.1,0.7142
CDA,VideoMAE,8850,44.2,45.2,10.6,26.5,29.3,0.6641
CDA,DINOv2 (BiLSTM),8850,43.6,45.3,11.0,33.9,22.4,0.6773
CDA,V-JEPA,8850,46.8,41.7,11.5,34.2,18.9,0.6512
CDA,V-JEPA 2,8850,46.3,41.2,12.5,28.0,25.7,0.6642
