dataset,UPDRS_class,N_observations,mean_recall,std_recall,mean_precision,std_precision
3DGait,0,12,0.4502,0.1186,0.5052,0.1081
3DGait,1,12,0.4497,0.1201,0.5404,0.0927
3DGait,2,12,0.5278,0.1763,0.311,0.138
3DGait,3,12,0.0861,0.0995,0.2527,0.1388
BMClab,0,12,0.6471,0.1013,0.6559,0.0595
BMClab,1,12,0.4687,0.1589,0.5044,0.1053
BMClab,2,12,0.4791,0.0913,0.4443,0.1039
BMClab,3,0,,,0.0,0.0
PD-GaM,0,12,0.7203,0.0694,0.6568,0.0896
PD-GaM,1,12,0.5115,0.1303,0.5126,0.068
PD-GaM,2,12,0.3775,0.1371,0.5528,0.1315
PD-GaM,3,12,0.4502,0.1584,0.6861,0.2855
T-SDU-PD,0,12,0.5503,0.0992,0.4295,0.0485
T-SDU-PD,1,12,0.347,0.0914,0.3026,0.0471
T-SDU-PD,2,12,0.412,0.1127,0.5918,0.0442
T-SDU-PD,3,0,,,0.0,0.0
